NodeID,First,Second,Third,Fourth,Fifth,Sixth
1,E,0,0,0,0,0
2,E,1,0,0,0,0
3,E,2,0,0,0,0
4,E,3,0,0,0,0
5,E,4,0,0,0,0
6,E,5,0,0,0,0
7,E,1,1,0,0,0
8,E,1,2,0,0,0
9,E,2,1,0,0,0
10,E,2,2,0,0,0
11,E,2,3,0,0,0
12,E,3,1,0,0,0
13,E,3,2,0,0,0
14,E,3,3,0,0,0
15,E,4,1,0,0,0
16,E,4,2,0,0,0
17,E,4,3,0,0,0
18,E,5,1,0,0,0
19,E,5,2,0,0,0
20,E,1,2,1,0,0
21,E,1,2,2,0,0
22,E,1,2,3,0,0
23,E,2,1,1,0,0
24,E,2,2,1,0,0
25,E,2,2,2,0,0
26,E,2,3,1,0,0
27,E,2,3,2,0,0
28,E,3,1,1,0,0
29,E,3,2,1,0,0
30,E,3,2,2,0,0
31,E,3,2,3,0,0
32,E,3,3,1,0,0
33,E,4,1,1,0,0
34,E,4,2,1,0,0
35,E,4,2,2,0,0
36,E,4,3,1,0,0
37,E,4,3,2,0,0
